NF_NUM;EMISSAO;CNPJ_EMITENTE;RAZAO_SOCIAL;CNPJ_DESTINATARIO;VALOR_TOTAL;VALOR_IMPOSTOS;FORMA_PGTO;PRAZO_DIAS;CENTRO_CUSTO;CATEGORIA;OBSERVACAO
NF-45821;05/01/2024;12.345.678/0001-99;TechBR Soluções Ltda;98.765.432/0001-10;45800,00;8244,00;Boleto;30;CC-001;Serviços TI;
NF-45890;08/01/2024;23.456.789/0001-88;Viagens Corporativas SA;98.765.432/0001-10;3200,50;0,00;Cartão;0;CC-002;Viagem;Reembolso aprovado RH
NF-46001;15/01/2024;34.567.890/0001-77;Imobiliária Centro Ltda;98.765.432/0001-10;28500,00;0,00;Débito Automático;0;CC-003;Aluguel;Contrato nº 2021/004
NF-46102;18/01/2024;00.000.000/0001-00;GlobalParts Comércio;98.765.432/0001-10;67200,00;12096,00;Boleto;45;CC-002;Mercadoria;CNPJ INVÁLIDO — pendente regularização
NF-46250;22/01/2024;45.678.901/0001-66;Equipamentos Delta SA;98.765.432/0001-10;89000,00;16020,00;Transferência;60;CC-001;Equipamentos TI;Cotação aprovada 3 fornecedores
NF-46380;25/01/2024;56.789.012/0001-55;Exportadora Nordeste Ltda;98.765.432/0001-10;340000,00;0,00;Câmbio;0;CC-005;Exportação;Invoice EX-2024-025
NF-46401;28/01/2024;67.890.123/0001-44;Predial Serviços Gerais;98.765.432/0001-10;15600,00;2808,00;Boleto;30;CC-003;Manutenção;SEM APROVADOR NO SISTEMA
NF-46500;01/02/2024;12.345.678/0001-99;TechBR Soluções Ltda;98.765.432/0001-10;45800,00;8244,00;Boleto;30;CC-001;Serviços TI;POSSÍVEL DUPLICATA NF-45821
NF-46601;03/02/2024;78.901.234/0001-33;Advocacia & Compliance SC;98.765.432/0001-10;8900,00;1602,00;Transferência;15;CC-006;Jurídico;Ref contrato dez/2023
NF-46720;10/02/2024;89.012.345/0001-22;Eventos Corporativos Ltda;98.765.432/0001-10;-500,00;0,00;Cartão;0;CC-002;Representação;VALOR NEGATIVO — verificar estorno
NF-46800;14/02/2024;90.123.456/0001-11;Provision Finance Ltda;98.765.432/0001-10;42000,00;0,00;Transferência;0;CC-007;Provisão;Aprovado diretoria financeira
NF-47100;05/03/2024;11.222.333/0001-44;ExtBR Comércio Internacional;98.765.432/0001-10;999999,99;179999,99;Transferência;90;CC-001;Mercadoria;VALOR ATÍPICO — cotação pendente análise
NF-47210;10/03/2024;56.789.012/0001-55;Exportadora Nordeste Ltda;98.765.432/0001-10;210000,00;0,00;Câmbio;0;CC-005;Exportação;Invoice EX-2024-048
NF-47305;15/03/2024;22.333.444/0001-55;Material Office Express;98.765.432/0001-10;2340,00;421,20;Boleto;15;CC-008;Material Escritório;
